demo_cat,demo_group,year,title,product_scenario,demand_scenario,refining_scenario,oil_price_scenario,scenario,scenario_title,sum_demo_emp,bau_sum_demo_emp,gap_emp,pop_2020,gap_emp_pc,gap_emp_pmil
DAC,dac,2021,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2251.11614486315,2489.32038955139,-238.204244688243,4904842,-4.85651208924249e-05,-48.5651208924249
DAC,dac,2021,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2488.94088406338,2489.32038955139,-0.379505488018367,4904842,-7.73736418050504e-08,-0.0773736418050504
DAC,dac,2021,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2180.829584506,2489.32038955139,-308.490805045393,4904842,-6.28951564689327e-05,-62.8951564689327
DAC,dac,2022,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2127.93044185046,2330.55443851123,-202.623996660774,4904842,-4.13110140267055e-05,-41.3110140267055
DAC,dac,2022,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2330.55443851123,2330.55443851123,0,4904842,0,0
DAC,dac,2022,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2052.55126315015,2330.55443851123,-278.003175361081,4904842,-5.66793334751824e-05,-56.6793334751824
DAC,dac,2022,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2116.39078292258,2330.55443851123,-214.163655588654,4904842,-4.3663721601767e-05,-43.663721601767
DAC,dac,2022,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2321.86139307834,2330.55443851123,-8.69304543289627,4904842,-1.77233954384183e-06,-1.77233954384183
DAC,dac,2022,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2041.01160422227,2330.55443851123,-289.542834288965,4904842,-5.90320410502449e-05,-59.0320410502449
DAC,dac,2022,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2273.20382331424,2489.72249405491,-216.518670740668,4904842,-4.41438624813334e-05,-44.1438624813334
DAC,dac,2022,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2489.72249405491,2489.72249405491,0,4904842,0,0
DAC,dac,2022,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2192.65967490974,2489.72249405491,-297.062819145175,4904842,-6.05652168092621e-05,-60.5652168092621
DAC,dac,2022,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2260.88168043393,2489.72249405491,-228.840813620983,4904842,-4.66561030143241e-05,-46.6561030143241
DAC,dac,2022,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2480.44135889363,2489.72249405491,-9.28113516127996,4904842,-1.89223937514806e-06,-1.89223937514806
DAC,dac,2022,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2180.33753202943,2489.72249405491,-309.384962025484,4904842,-6.30774573422515e-05,-63.0774573422515
DAC,dac,2023,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2132.71514128207,2321.91837353921,-189.203232257144,4904842,-3.85747863554307e-05,-38.5747863554307
DAC,dac,2023,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2321.91837353921,2321.91837353921,0,4904842,0,0
DAC,dac,2023,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2047.85483440923,2321.91837353921,-274.063539129982,4904842,-5.58761197873411e-05,-55.8761197873411
DAC,dac,2023,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2117.48941446721,2321.91837353921,-204.428959071997,4904842,-4.16790100623011e-05,-41.6790100623011
DAC,dac,2023,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2313.28619627436,2321.91837353921,-8.63217726484936,4904842,-1.75992973165076e-06,-1.75992973165076
DAC,dac,2023,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2032.62910759437,2321.91837353921,-289.289265944845,4904842,-5.89803434942135e-05,-58.9803434942135
DAC,dac,2023,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2313.83058304801,2519.17968853178,-205.349105483773,4904842,-4.18666096652599e-05,-41.8666096652599
DAC,dac,2023,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2519.17968853178,2519.17968853178,0,4904842,0,0
DAC,dac,2023,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2221.74460498247,2519.17968853178,-297.435083549309,4904842,-6.06411141376845e-05,-60.6411141376845
DAC,dac,2023,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2297.32078398986,2519.17968853178,-221.858904541924,4904842,-4.52326302339451e-05,-45.2326302339451
DAC,dac,2023,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2509.82345300783,2519.17968853178,-9.35623552394645,4904842,-1.90755084953735e-06,-1.90755084953735
DAC,dac,2023,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2205.23480592433,2519.17968853178,-313.944882607446,4904842,-6.40071347063669e-05,-64.0071347063669
DAC,dac,2024,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2111.0285754178,2331.46190588366,-220.433330465854,4904842,-4.4941983955009e-05,-44.941983955009
DAC,dac,2024,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2331.46190588366,2331.46190588366,0,4904842,0,0
DAC,dac,2024,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2017.6497101119,2331.46190588366,-313.812195771753,4904842,-6.39800824923112e-05,-63.9800824923112
DAC,dac,2024,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2094.22036151282,2331.46190588366,-237.241544370836,4904842,-4.83688453921321e-05,-48.3688453921321
DAC,dac,2024,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2320.24182026089,2331.46190588366,-11.2200856227669,4904842,-2.28755291664173e-06,-2.28755291664173
DAC,dac,2024,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2000.84149620692,2331.46190588366,-330.620409676733,4904842,-6.7406943929434e-05,-67.406943929434
DAC,dac,2024,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2333.9283671135,2577.73380965937,-243.805442545869,4904842,-4.97070940401075e-05,-49.7070940401075
DAC,dac,2024,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2577.73380965937,2577.73380965937,0,4904842,0,0
DAC,dac,2024,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2230.67227577926,2577.73380965937,-347.061533880103,4904842,-7.07589630573427e-05,-70.7589630573428
DAC,dac,2024,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2315.37254953993,2577.73380965937,-262.361260119435,4904842,-5.34902572028691e-05,-53.4902572028691
DAC,dac,2024,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2565.35268753645,2577.73380965937,-12.3811221229194,4904842,-2.5242652307494e-06,-2.5242652307494
DAC,dac,2024,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2212.11645820571,2577.73380965937,-365.617351453651,4904842,-7.45421262201007e-05,-74.5421262201007
DAC,dac,2025,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2086.01782246576,2316.71132075894,-230.693498293183,4904842,-4.70338286723982e-05,-47.0338286723982
DAC,dac,2025,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2316.71132075894,2316.71132075894,0,4904842,0,0
DAC,dac,2025,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",1984.12039872678,2316.71132075894,-332.590922032159,4904842,-6.78086923150958e-05,-67.8086923150958
DAC,dac,2025,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2066.55513214784,2316.71132075894,-250.156188611104,4904842,-5.10018852006045e-05,-51.0018852006045
DAC,dac,2025,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2304.20626426605,2316.71132075894,-12.5050564928933,4904842,-2.5495329906434e-06,-2.5495329906434
DAC,dac,2025,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",1964.65770840887,2316.71132075894,-352.053612350071,4904842,-7.17767488433003e-05,-71.7767488433003
DAC,dac,2025,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2351.21189147999,2611.34438529073,-260.132493810742,4904842,-5.30358559584064e-05,-53.0358559584064
DAC,dac,2025,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2611.34438529073,2611.34438529073,0,4904842,0,0
DAC,dac,2025,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2236.34721002654,2611.34438529073,-374.997175264185,4904842,-7.64544862534175e-05,-76.4544862534175
DAC,dac,2025,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2329.32798610978,2611.34438529073,-282.016399180945,4904842,-5.74975502128194e-05,-57.4975502128194
DAC,dac,2025,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2597.29520889511,2611.34438529073,-14.0491763956225,4904842,-2.86434841236934e-06,-2.86434841236934
DAC,dac,2025,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2214.46330465634,2611.34438529073,-396.881080634385,4904842,-8.09161805078299e-05,-80.9161805078299
DAC,dac,2026,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2060.51703934919,2301.69514558668,-241.178106237492,4904842,-4.91714322780412e-05,-49.1714322780412
DAC,dac,2026,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2301.69514558668,2301.69514558668,0,4904842,0,0
DAC,dac,2026,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",1965.37745957054,2301.69514558668,-336.317686016137,4904842,-6.85685055739078e-05,-68.5685055739078
DAC,dac,2026,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2025.26349205851,2301.69514558668,-276.431653528175,4904842,-5.63589313433898e-05,-56.3589313433898
DAC,dac,2026,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2288.44547288204,2301.69514558668,-13.24967270464,4904842,-2.70134546732393e-06,-2.70134546732393
DAC,dac,2026,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",1928.83822891279,2301.69514558668,-372.856916673894,4904842,-7.60181299772539e-05,-76.0181299772539
DAC,dac,2026,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2364.44134863433,2641.31494638894,-276.873597754603,4904842,-5.6449035005532e-05,-56.449035005532
DAC,dac,2026,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2641.31494638894,2641.31494638894,0,4904842,0,0
DAC,dac,2026,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2255.25757925159,2641.31494638894,-386.057367137341,4904842,-7.87094400058843e-05,-78.7094400058843
DAC,dac,2026,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2324.08784470835,2641.31494638894,-317.227101680588,4904842,-6.46763140750687e-05,-64.6763140750687
DAC,dac,2026,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2626.19863087837,2641.31494638894,-15.1163155105655,4904842,-3.08191691201583e-06,-3.08191691201583
DAC,dac,2026,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2213.41562596862,2641.31494638894,-427.899320420317,4904842,-8.72401843770536e-05,-87.2401843770537
DAC,dac,2027,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2035.17849473631,2290.83176920712,-255.653274470809,4904842,-5.21226319768932e-05,-52.1226319768932
DAC,dac,2027,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2290.83176920712,2290.83176920712,0,4904842,0,0
DAC,dac,2027,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",1929.30738499553,2290.83176920712,-361.52438421159,4904842,-7.37076513803279e-05,-73.7076513803279
DAC,dac,2027,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",1983.84651597615,2290.83176920712,-306.98525323097,4904842,-6.25882043154439e-05,-62.5882043154439
DAC,dac,2027,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2297.87300087028,2290.83176920712,7.04123166316504,4904842,1.43556747865987e-06,1.43556747865987
DAC,dac,2027,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",1873.98227832321,2290.83176920712,-416.849490883905,4904842,-8.49873432995202e-05,-84.9873432995202
DAC,dac,2027,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2366.02041873079,2663.35732516184,-297.336906431057,4904842,-6.06210977705413e-05,-60.6210977705413
DAC,dac,2027,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2663.35732516184,2663.35732516184,0,4904842,0,0
DAC,dac,2027,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2242.9352690937,2663.35732516184,-420.422056068149,4904842,-8.5715718481482e-05,-85.715718481482
DAC,dac,2027,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2306.49770722951,2663.35732516184,-356.859617932335,4904842,-7.27565980580689e-05,-72.7565980580689
DAC,dac,2027,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2671.67369931026,2663.35732516184,8.3163741484168,4904842,1.6955437399241e-06,1.6955437399241
DAC,dac,2027,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2178.75393127803,2663.35732516184,-484.60339388381,4904842,-9.88010202742128e-05,-98.8010202742128
DAC,dac,2028,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2012.56910949194,2293.94557059832,-281.376461106383,4904842,-5.73670795320997e-05,-57.3670795320997
DAC,dac,2028,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2293.94557059832,2293.94557059832,0,4904842,0,0
DAC,dac,2028,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",1896.02937502663,2293.94557059832,-397.916195571688,4904842,-8.11272199128306e-05,-81.1272199128306
DAC,dac,2028,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",1947.79404288358,2293.94557059832,-346.151527714743,4904842,-7.0573430849504e-05,-70.573430849504
DAC,dac,2028,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2306.4710052141,2293.94557059832,12.5254346157813,4904842,2.55368768571572e-06,2.55368768571572
DAC,dac,2028,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",1817.51592048004,2293.94557059832,-476.429650118278,4904842,-9.7134556040394e-05,-97.134556040394
DAC,dac,2028,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2379.5127980302,2712.31255559903,-332.799757568827,4904842,-6.78512697389288e-05,-67.8512697389288
DAC,dac,2028,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2712.31255559903,2712.31255559903,0,4904842,0,0
DAC,dac,2028,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2241.7320988261,2712.31255559903,-470.580456772924,4904842,-9.5942021531565e-05,-95.942021531565
DAC,dac,2028,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2303.12132394962,2712.31255559903,-409.191231649405,4904842,-8.34259761373362e-05,-83.4259761373362
DAC,dac,2028,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2727.31483220696,2712.31255559903,15.0022766079305,4904842,3.0586666416432e-06,3.0586666416432
DAC,dac,2028,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2149.11202771952,2712.31255559903,-563.200527879514,4904842,-0.000114825416981732,-114.825416981732
DAC,dac,2029,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",1990.78166426099,2298.49873124827,-307.717066987283,4904842,-6.27374066253884e-05,-62.7374066253884
DAC,dac,2029,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2298.49873124827,2298.49873124827,0,4904842,0,0
DAC,dac,2029,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",1863.07550163019,2298.49873124827,-435.423229618076,4904842,-8.87741602314765e-05,-88.7741602314765
DAC,dac,2029,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",1889.83716103055,2298.49873124827,-408.661570217716,4904842,-8.33179886768454e-05,-83.3179886768454
DAC,dac,2029,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2309.06482647438,2298.49873124827,10.566095226111,4904842,2.1542172461643e-06,2.1542172461643
DAC,dac,2029,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",1750.83936281615,2298.49873124827,-547.659368432119,4904842,-0.000111656882817452,-111.656882817452
DAC,dac,2029,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2392.50164967133,2762.42574519737,-369.924095526037,4904842,-7.54201859154763e-05,-75.4201859154763
DAC,dac,2029,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2762.42574519737,2762.42574519737,0,4904842,0,0
DAC,dac,2029,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2239.0473275333,2762.42574519737,-523.378417664068,4904842,-0.000106706478549985,-106.706478549985
DAC,dac,2029,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2271.43973706679,2762.42574519737,-490.986008130573,4904842,-0.000100102308724842,-100.102308724842
DAC,dac,2029,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2775.36694523572,2762.42574519737,12.941200038355,4904842,2.63845400898846e-06,2.63845400898846
DAC,dac,2029,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2104.43423626208,2762.42574519737,-657.991508935284,4904842,-0.000134151417912195,-134.151417912195
DAC,dac,2030,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",1980.38316193611,2305.82005798661,-325.436896050501,4904842,-6.63501283120844e-05,-66.3501283120844
DAC,dac,2030,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2305.82005798661,2305.82005798661,0,4904842,0,0
DAC,dac,2030,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",1832.66568791084,2305.82005798661,-473.154370075765,4904842,-9.64667914024071e-05,-96.4667914024071
DAC,dac,2030,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",1829.86478465225,2305.82005798661,-475.955273334364,4904842,-9.70378400230556e-05,-97.0378400230556
DAC,dac,2030,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2308.60684705515,2305.82005798661,2.78678906854248,4904842,5.68171017240204e-07,0.568171017240204
DAC,dac,2030,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",1695.69745303635,2305.82005798661,-610.122604950256,4904842,-0.000124391897832847,-124.391897832847
DAC,dac,2030,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2407.26779486011,2802.97409347616,-395.706298616051,4904842,-8.06766657551969e-05,-80.6766657551969
DAC,dac,2030,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2802.97409347616,2802.97409347616,0,4904842,0,0
DAC,dac,2030,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2227.77019859226,2802.97409347616,-575.203894883897,4904842,-0.000117272665436297,-117.272665436297
DAC,dac,2030,DAC,changing prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",2224.62861006183,2802.97409347616,-578.345483414331,4904842,-0.00011791317302664,-117.91317302664
DAC,dac,2030,DAC,changing prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2806.64133586746,2802.97409347616,3.66724239130053,4904842,7.47677986630463e-07,0.747677986630463
DAC,dac,2030,DAC,changing prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",2061.6061588108,2802.97409347616,-741.367934665358,4904842,-0.000151150217410746,-151.150217410746
DAC,dac,2031,DAC,2020 prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",1960.46785728051,2311.21696406211,-350.749106781592,4904842,-7.15107860317604e-05,-71.5107860317604
DAC,dac,2031,DAC,2020 prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2311.21696406211,2311.21696406211,0,4904842,0,0
DAC,dac,2031,DAC,2020 prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",1804.03070744439,2311.21696406211,-507.186256617715,4904842,-0.000103405218071798,-103.405218071798
DAC,dac,2031,DAC,2020 prices,LC1,historical exports,reference case,Low demand - historical exports,"Low demand
historical exports",1726.63544491046,2311.21696406211,-584.58151915165,4904842,-0.000119184577026467,-119.184577026467
DAC,dac,2031,DAC,2020 prices,LC1,historical production,reference case,Low demand - historical production,"Low demand
historical production",2301.48601171574,2311.21696406211,-9.73095234636457,4904842,-1.98394817740604e-06,-1.98394817740604
DAC,dac,2031,DAC,2020 prices,LC1,low exports,reference case,Low demand - low exports,"Low demand
low exports",1582.82784710877,2311.21696406211,-728.389116953333,4904842,-0.000148504093904214,-148.504093904214
DAC,dac,2031,DAC,changing prices,BAU,historical exports,reference case,BAU demand - historical exports,"BAU demand
historical exports",2420.83312068558,2854.04551514044,-433.212394454858,4904842,-8.83234147919256e-05,-88.3234147919256
DAC,dac,2031,DAC,changing prices,BAU,historical production,reference case,BAU demand - historical production,"BAU demand
historical production",2854.04551514044,2854.04551514044,0,4904842,0,0
DAC,dac,2031,DAC,changing prices,BAU,low exports,reference case,BAU demand - low exports,"BAU demand
low exports",2227.75056334424,2854.04551514044,-626.294951796203,4904842,-0.000127689118588571,-127.689118588571
